German Occupation Titles,English Translation
Ing. Techn.,Engeneer Technician
Ingenieur,Engeneer
"Ingenieur
  (Maschinen)",Machine engneer
"Ingenieur
  Chemiker",Chemical engineer
"Ingenieur
  Elektriker",Electrical engineer
"Ingenieur
  Konstrukteur",Construction engineer
"Ingenieur
  Mechnaiker",Mechanical engineer
"Ingenieur
  Mechnaiker Elektriker",Electrical mechanical engineer
"Ingenieur
  u. Bohrtechnik",Drilling technician engineer
Ingenieur-Kalkulator,Engineer-Calculator (Appraiser)
Inkassent,Cashier?
Inspektor,Inspector
Instalateur,Fitter / installer
Installateur,Installer
"Installateur
  Gehilfe",Assistant fitter
"Installateur
  u. Rohrmonteur",Pipe assembler & fitter
Installateurmeister,Master fitter
Internist,Internist
Invalide,Disabled
Isolateur,Insulator?
Isolateur,Insulator
"Isolateur
  u. Feinmechaniker","Insulator & precision
  mechanic"
Isolateurgehilfe,Assistant insulator
Isolationsarbeiter,Insulation worker
Isolationsgehilfe,Assistant insulator
Jäger,Hunter
Journalist,Newsman
"J-Personalreferent
  u. Material-Wirtschaft","Reporterr of the Jewish
  workforce and bursarship"
Judeneinsatz,Jewish workforce
Jurist,"Lawyer, Sollicitor"
Jurist,Lawyer
Juwelier,Jeweler
Kabelleger,Cablecaster
Kabelmeister,Cable Foreman
Kaffeehausbesitzer,Coffeehouse Owner
Kalkmüller,Lime Miller
Kalkulant,Calculator
Kalkulator,Appraiser
Kaminfeger,"Chimney Sweeper, Sweep"
Kammfabrikant,Comb Manufacturer
Kanalarbeiter,Channel Digger
Kanalizator,Sewer Digger?
Kaninchenzüchterin,Rabbit breeder
Kanzlist,Chancellery Officer
Kapellmeister,Band Master
Kapitän,Captain
Karosseriebauer,Body Maker
Karosseur,Body Maker?
Karteiführer,Head filer
Karteiführerin,Head card filer
Karteikontroll.,Filing comptroller
Karteischreiberin,Cards encoder - female
Käse u. Buttermeister,Cheese and Butter Craftsman
Kassetenmach.,Caskets Manufacturer
Kassierer,Cashier 
"Kauf.
  Raff. Organisator","Purchase organizer for the
  refineries"
Kaufm. Angestellter,Business Employee
Kaufm. Gehilfe,Business Aide
Kaufm. Lehrling,Business Apprentice
Kaufmann,"Merchant, Dealer"
Kaufmann Vertreter,Merchant Agent
Kaufmann/ Feinmechaniker,Merchant / Precision Mechanic
Kaufmann/ Gerber,Merchant / Tanner
Kaufmann/Bäcker,Merchant / Baker
Kaufmann/Landwirt,Merchant / Cultivator
Kellermeister,Cellarer
Kellner,Waiter
Keramiker,Ceramist
Kerzenarbeiter,Candles Worker
Kesselfabrikant,Kettle Manufacturer
Kesselgehilfe,Assstant boiler worker
Kesselheizer,Boiler stoker
Kesselmacher,Kettle Manufacturer
Kesselmeister,Master boiler worker
Kesselputzer,Boiler cleaner
Kesselreiniger,Boiler cleaner
Kesselreinigung,Boiler cleaner
Kesselschmied,Boiler Maker
Kesselschmied,Boiler fabricator (smith)
Kindergärtnerin,Kindergarten teacher
Kinobesitzer,Movie Theater Owner
Kinooperateur,Movie Theater Operator
Kistenarbeiterin,Crate worker
Klavierlehrer,Piano Teacher
Klaviermachergehilfe,Piano Manufacturer Aide
Klempner,Plumber
Klempnergehilfin,Assistant plumber
Klempnergeselle,Assistant plumber
Klempnermeister,Master plumber
Knecht,"Farm Labourer, Churl"
Knopflochmacher,Buttonholes Maker
Knopflochschleifer,Buttonholes Polisher?
Knopfmacher,Button-Maker
Koch,Chef
Köchin,Cook
Kochingehilfin,Assistant cook
Köhler,Charcoal Maker
Koksarbeiter,Kitchen Worker
Komiker,"Comedian, Comic"
Kommandant,Commandant
Kommerzing.,Commercial Engeneer
Konditor,Confectioner
Konditor,Confectioner
Konfektionär,Button Maker
Konservenfabrikvorarbeiter,Cannery Overseer
Konstrukteur,Draftsman
"Konstrukteur
  bei den Raffinerie-Aufbau.","Builder at the refinerie
  extensions"
"Konstrukteur
  Ingenieur",Design Engineer
"Konstrukteur
  u. Kunstschlossermeister",Building and art worker
Konstruktionsschlosser,Lock designer
Kontorist,Clerk
Kontoristin,Office worker
Kontrolleur,Controller
Kopistin,Copy maker
Korbflechter,Basket Worker
Korbmacher,Basketmaker
"Korrespondent
  u. Maschinenschreiber",Correspondent & typist
Kraftfahrer,Driver
Kraftfahrgeh.,Assitsant driver
Kraftfahrschlosser,Car locksmith
Kraftwagenführer,Truck driver
Kraftwagentechniker,Automobile Technician
Krämer,Monger
Kranführer,Crane Driver
Krankenpflegerin,Nurse
Krankenschwester,Nurse
Krankenwärter,Nurse
Kreissäger,Circular saw worker
Kreissägergehilfe,Assistant circular saw worker
Kriminelle Polizei Inspektor,Criminal Police Inspector
Kuchenbäcker,Kitchen Baker
Küchengehilfin,Kitchen help
Küchenleiterin,Kitchen manager
Küchenpersonal,Kitchen staff
Kühlmasch. Installateur,Refrigerator Plumber
Kunstmaler,Painter
Kunstmechaniker,Art Mechanician
Kunstschlosser,Art Locksmith
Kunstschreib.,Art Graphist
Kunststeinerzg.,Artificial Stones Manufacturer
Kupferschmied,Coppersmith
Kürschner,"Furrier, Pelt Monger"
Kürschner,Furrier
Kürschnermeister,Master furrier
Kutscher,Coachman / driver
Laborant,Laboratory assistant
"Laborant
  Gehilfe",Laboratory assistant
Lackierer,Varnisher
Lackierer,Varnisher
"Lackierer
  u. Schriftenmale",Varnisher and Signpainter
Lackierergehilfe,Assistant varnisher
Lackierermeister,Assistant varnisher
Lagerarb.,Warehouseman
Lagerarzt,Camp doctor
Lagerhalter,Warehouse Holder
Lagerist,Warehouseman
Lagerköchin,Camp cook (female)
Lagerverwalter,Warehouse Caretaker
Lagerverwalter,Camp administrator
